DATA/PARCELA/VALOR DISTRIBUIDO
FPM   - FUNDO DE PARTICIPACAO DOS MUNICIPIOS, , 
DATA, PARCELA, VALOR DISTRIBUIDO
10.05.2022, PARCELA DE IPI, 58.469_73C
, PARCELA DE IR, 1.054.945_92C
, RETENCAO PASEP, 11.134_14D
, RFB-PREV-OB COR, 385.268_83D
, RFB-PREV-OB DEV, 69.348_39D
, RFB-PREV-PARC60, 102.107_72D
, DEDUCAO SAUDE, 167.012_33D
, DEDUCAO FUNDEB, 222.683_12D
, TOTAL NA DATA, 155.861_12C
20.05.2022, PARCELA DE IPI, 21.100_23C
, PARCELA DE IR, 134.727_72C
, RETENCAO PASEP, 1.558_27D
, DEDUCAO SAUDE, 23.374_18D
, DEDUCAO FUNDEB, 31.165_58D
, TOTAL NA DATA, 99.729_92C
30.05.2022, PARCELA DE IPI, 12.180_53C
, PARCELA DE IR, 491.302_34C
, RETENCAO PASEP, 5.034_82D
, DEDUCAO SAUDE, 75.522_42D
, DEDUCAO FUNDEB, 100.696_56D
, TOTAL NA DATA, 322.229_07C
TOTAL POR PARCELA / NATUREZA, , 
, PARCELA DE IPI, 91.750_49C
, PARCELA DE IR, 1.680.975_98C
, RETENCAO PASEP, 17.727_23D
, RFB-PREV-OB COR, 385.268_83D
, RFB-PREV-OB DEV, 69.348_39D
, RFB-PREV-PARC60, 102.107_72D
, DEDUCAO SAUDE, 265.908_93D
, DEDUCAO FUNDEB, 354.545_26D
, DEBITO FUNDO, 1.194.906_36D
, CREDITO FUNDO, 1.772.726_47C
FEP   - FUNDO ESPECIAL DO PETROLEO, , 
DATA, PARCELA, VALOR DISTRIBUIDO
20.05.2022, COTA-PARTE, 36.220_96C
, RETENCAO PASEP, 362_20D
, TOTAL NA DATA, 35.858_76C
27.05.2022, COTA-PARTE, 9.991_95C
, RETENCAO PASEP, 99_91D
, TOTAL NA DATA, 9.892_04C
TOTAL POR PARCELA / NATUREZA, , 
, COTA-PARTE, 46.212_91C
, RETENCAO PASEP, 462_11D
, DEBITO FUNDO, 462_11D
, CREDITO FUNDO, 46.212_91C
ITR   - IMPOSTO TERRITORIAL RURAL, , 
DATA, PARCELA, VALOR DISTRIBUIDO
10.05.2022, RETENCAO PASEP, 6_52D
, DEDUCAO SAUDE, 122_31D
, DEDUCAO FUNDEB, 163_08D
, ITR-CONVENIO, 815_41C
, TOTAL NA DATA, 523_50C
TOTAL POR PARCELA / NATUREZA, , 
, RETENCAO PASEP, 6_52D
, DEDUCAO SAUDE, 122_31D
, DEDUCAO FUNDEB, 163_08D
, ITR-CONVENIO, 815_41C
, DEBITO FUNDO, 291_91D
, CREDITO FUNDO, 815_41C
ICS   - ICMS ESTADUAL, , 
DATA, PARCELA, VALOR DISTRIBUIDO
03.05.2022, COTA-PARTE, 98.469_81C
, DEDUCAO SAUDE, 14.770_47D
, DEDUCAO FUNDEB, 19.693_96D
, TOTAL NA DATA, 64.005_38C
10.05.2022, COTA-PARTE, 63.588_15C
, DEDUCAO SAUDE, 9.538_22D
, DEDUCAO FUNDEB, 12.717_63D
, TOTAL NA DATA, 41.332_30C
17.05.2022, COTA-PARTE, 362.650_39C
, DEDUCAO SAUDE, 54.397_55D
, DEDUCAO FUNDEB, 72.530_07D
, TOTAL NA DATA, 235.722_77C
24.05.2022, COTA-PARTE, 75.333_27C
, DEDUCAO SAUDE, 11.299_99D
, DEDUCAO FUNDEB, 15.066_65D
, TOTAL NA DATA, 48.966_63C
31.05.2022, COTA-PARTE, 140.178_00C
, DEDUCAO SAUDE, 21.026_70D
, DEDUCAO FUNDEB, 28.035_60D
, TOTAL NA DATA, 91.115_70C
TOTAL POR PARCELA / NATUREZA, , 
, COTA-PARTE, 740.219_62C
