DATA/PARCELA/VALOR DISTRIBUIDO
FPM   - FUNDO DE PARTICIPACAO DOS MUNICIPIOS, , 
DATA, PARCELA, VALOR DISTRIBUIDO
10.10.2022, PARCELA DE IPI, 89.693_63C
, PARCELA DE IR, 620.584_23C
, RETENCAO PASEP, 7.102_77D
, RFB-PREV-PARC60, 92.233_38D
, DEDUCAO SAUDE, 106.541_67D
, DEDUCAO FUNDEB, 142.055_56D
, TOTAL NA DATA, 362.344_48C
20.10.2022, PARCELA DE IPI, 35.704_52C
, PARCELA DE IR, 152.522_04C
, RETENCAO PASEP, 1.882_26D
, RFB-PREV-OB COR, 120.465_03D
, DEDUCAO SAUDE, 28.233_97D
, DEDUCAO FUNDEB, 37.645_30D
, TOTAL NA DATA, 0_00C
28.10.2022, PARCELA DE IPI, 17.628_97C
, PARCELA DE IR, 504.578_17C
, RETENCAO PASEP, 5.222_06D
, RFB-PREV-OB COR, 309.575_30D
, RFB-PREV-OB DEV, 24.637_30D
, DEDUCAO SAUDE, 78.331_06D
, DEDUCAO FUNDEB, 104.441_42D
, TOTAL NA DATA, 0_00C
TOTAL POR PARCELA / NATUREZA, , 
, PARCELA DE IPI, 143.027_12C
, PARCELA DE IR, 1.277.684_44C
, RETENCAO PASEP, 14.207_09D
, RFB-PREV-OB COR, 430.040_33D
, RFB-PREV-OB DEV, 24.637_30D
, RFB-PREV-PARC60, 92.233_38D
, DEDUCAO SAUDE, 213.106_70D
, DEDUCAO FUNDEB, 284.142_28D
, DEBITO FUNDO, 1.058.367_08D
, CREDITO FUNDO, 1.420.711_56C
FEP   - FUNDO ESPECIAL DO PETROLEO, , 
DATA, PARCELA, VALOR DISTRIBUIDO
26.10.2022, COTA-PARTE, 29.814_11C
, RETENCAO PASEP, 298_14D
, TOTAL NA DATA, 29.515_97C
28.10.2022, COTA-PARTE, 12.891_44C
, RETENCAO PASEP, 128_91D
, TOTAL NA DATA, 12.762_53C
TOTAL POR PARCELA / NATUREZA, , 
, COTA-PARTE, 42.705_55C
, RETENCAO PASEP, 427_05D
, DEBITO FUNDO, 427_05D
, CREDITO FUNDO, 42.705_55C
ITR   - IMPOSTO TERRITORIAL RURAL, , 
DATA, PARCELA, VALOR DISTRIBUIDO
10.10.2022, RETENCAO PASEP, 3.510_67D
, DEDUCAO SAUDE, 65.825_19D
, DEDUCAO FUNDEB, 87.766_92D
, ITR-CONVENIO, 438.834_61C
, TOTAL NA DATA, 281.731_83C
20.10.2022, RETENCAO PASEP, 18_24D
, DEDUCAO SAUDE, 342_14D
, DEDUCAO FUNDEB, 456_19D
, ITR-CONVENIO, 2.280_95C
, TOTAL NA DATA, 1.464_38C
28.10.2022, RETENCAO PASEP, 20_20D
, DEDUCAO SAUDE, 378_79D
, DEDUCAO FUNDEB, 505_05D
, ITR-CONVENIO, 2.525_28C
, TOTAL NA DATA, 1.621_24C
TOTAL POR PARCELA / NATUREZA, , 
, RETENCAO PASEP, 3.549_11D
, DEDUCAO SAUDE, 66.546_12D
, DEDUCAO FUNDEB, 88.728_16D
, ITR-CONVENIO, 443.640_84C
, DEBITO FUNDO, 158.823_39D
, CREDITO FUNDO, 443.640_84C
ICS   - ICMS ESTADUAL, , 
DATA, PARCELA, VALOR DISTRIBUIDO
04.10.2022, COTA-PARTE, 53.807_53C
, DEDUCAO SAUDE, 8.071_12D
, DEDUCAO FUNDEB, 10.761_50D
, TOTAL NA DATA, 34.974_91C
11.10.2022, COTA-PARTE, 94.665_77C
, DEDUCAO SAUDE, 14.199_86D
, DEDUCAO FUNDEB, 18.933_15D
, TOTAL NA DATA, 61.532_76C
18.10.2022, COTA-PARTE, 350.563_20C
, DEDUCAO SAUDE, 52.584_48D
, DEDUCAO FUNDEB, 70.112_64D
, TOTAL NA DATA, 227.866_08C
25.10.2022, COTA-PARTE, 102.672_92C
, DEDUCAO SAUDE, 15.400_93D
, DEDUCAO FUNDEB, 20.534_58D
, TOTAL NA DATA, 66.737_41C
