DATA/PARCELA/VALOR DISTRIBUIDO
FPM   - FUNDO DE PARTICIPACAO DOS MUNICIPIOS, , 
DATA, PARCELA, VALOR DISTRIBUIDO
10.02.2022, PARCELA DE IPI, 104.822_73C
, PARCELA DE IR, 1.551.993_00C
, RETENCAO PASEP, 16.568_15D
, RFB-PREV-OB COR, 451.263_55D
, RFB-PREV-OB DEV, 80.705_34D
, RFB-PREV-PARC60, 93.801_20D
, RFB-RET DARF, 14.543_75D
, DEDUCAO SAUDE, 248.522_35D
, DEDUCAO FUNDEB, 331.363_14D
, TOTAL NA DATA, 420.048_25C
18.02.2022, PARCELA DE IPI, 31.504_76C
, PARCELA DE IR, 133.252_70C
, RETENCAO PASEP, 1.647_56D
, DEDUCAO SAUDE, 24.713_61D
, DEDUCAO FUNDEB, 32.951_49D
, TOTAL NA DATA, 105.444_80C
25.02.2022, PARCELA DE IPI, 13.457_66C
, PARCELA DE IR, 382.591_35C
, RETENCAO PASEP, 3.960_48D
, DEDUCAO SAUDE, 59.407_34D
, DEDUCAO FUNDEB, 79.209_80D
, TOTAL NA DATA, 253.471_39C
TOTAL POR PARCELA / NATUREZA, , 
, PARCELA DE IPI, 149.785_15C
, PARCELA DE IR, 2.067.837_05C
, RETENCAO PASEP, 22.176_19D
, RFB-PREV-OB COR, 451.263_55D
, RFB-PREV-OB DEV, 80.705_34D
, RFB-PREV-PARC60, 93.801_20D
, RFB-RET DARF, 14.543_75D
, DEDUCAO SAUDE, 332.643_30D
, DEDUCAO FUNDEB, 443.524_43D
, DEBITO FUNDO, 1.438.657_76D
, CREDITO FUNDO, 2.217.622_20C
FEP   - FUNDO ESPECIAL DO PETROLEO, , 
DATA, PARCELA, VALOR DISTRIBUIDO
22.02.2022, COTA-PARTE, 24.668_79C
, RETENCAO PASEP, 246_68D
, TOTAL NA DATA, 24.422_11C
24.02.2022, COTA-PARTE, 7.100_46C
, RETENCAO PASEP, 71_00D
, TOTAL NA DATA, 7.029_46C
TOTAL POR PARCELA / NATUREZA, , 
, COTA-PARTE, 31.769_25C
, RETENCAO PASEP, 317_68D
, DEBITO FUNDO, 317_68D
, CREDITO FUNDO, 31.769_25C
ITR   - IMPOSTO TERRITORIAL RURAL, , 
DATA, PARCELA, VALOR DISTRIBUIDO
10.02.2022, RETENCAO PASEP, 74_99D
, DEDUCAO SAUDE, 1.406_10D
, DEDUCAO FUNDEB, 1.874_80D
, ITR-CONVENIO, 9.374_00C
, TOTAL NA DATA, 6.018_11C
18.02.2022, RETENCAO PASEP, 7_90D
, DEDUCAO SAUDE, 148_28D
, DEDUCAO FUNDEB, 197_71D
, ITR-CONVENIO, 988_58C
, TOTAL NA DATA, 634_69C
25.02.2022, RETENCAO PASEP, 9_82D
, DEDUCAO SAUDE, 184_29D
, DEDUCAO FUNDEB, 245_72D
, ITR-CONVENIO, 1.228_62C
, TOTAL NA DATA, 788_79C
TOTAL POR PARCELA / NATUREZA, , 
, RETENCAO PASEP, 92_71D
, DEDUCAO SAUDE, 1.738_67D
, DEDUCAO FUNDEB, 2.318_23D
, ITR-CONVENIO, 11.591_20C
, DEBITO FUNDO, 4.149_61D
, CREDITO FUNDO, 11.591_20C
ICS   - ICMS ESTADUAL, , 
DATA, PARCELA, VALOR DISTRIBUIDO
01.02.2022, COTA-PARTE, 119.394_46C
, DEDUCAO SAUDE, 17.909_16D
, DEDUCAO FUNDEB, 23.878_89D
, TOTAL NA DATA, 77.606_41C
08.02.2022, COTA-PARTE, 50.123_61C
, DEDUCAO SAUDE, 7.518_54D
, DEDUCAO FUNDEB, 10.024_72D
, TOTAL NA DATA, 32.580_35C
15.02.2022, COTA-PARTE, 179.238_80C
, DEDUCAO SAUDE, 26.885_82D
, DEDUCAO FUNDEB, 35.847_76D
, TOTAL NA DATA, 116.505_22C
22.02.2022, COTA-PARTE, 226.437_44C
, DEDUCAO SAUDE, 33.965_61D
, DEDUCAO FUNDEB, 45.287_48D
, TOTAL NA DATA, 147.184_35C
TOTAL POR PARCELA / NATUREZA, , 
, COTA-PARTE, 575.194_31C
, DEDUCAO SAUDE, 86.279_13D
, DEDUCAO FUNDEB, 115.038_85D
, DEBITO FUNDO, 201.317_98D
, CREDITO FUNDO, 575.194_31C
ITA   - ROYALTIES DE ITAIPU, , 
DATA, PARCELA, VALOR DISTRIBUIDO
17.02.2022, RETENCAO PASEP, 4_07D
, ITA-ROYT.ITAIPU, 407_95C
, TOTAL NA DATA, 403_88C
TOTAL POR PARCELA / NATUREZA, , 
, RETENCAO PASEP, 4_07D
, ITA-ROYT.ITAIPU, 407_95C
, DEBITO FUNDO, 4_07D
, CREDITO FUNDO, 407_95C
FUS   - FUNDO SAUDE, , 
DATA, PARCELA, VALOR DISTRIBUIDO
01.02.2022, REF.ICMS ESTADO, 17.909_16C
, TOTAL NA DATA, 17.909_16C
08.02.2022, REF.ICMS ESTADO, 7.518_54C
, TOTAL NA DATA, 7.518_54C
10.02.2022, ORIGEM FPM, 248.522_35C
, ORIGEM ITR, 1.406_10C
, ORIGEM IPM, 827_05C
, TOTAL NA DATA, 250.755_50C
15.02.2022, REF.ICMS ESTADO, 26.885_82C
, TOTAL NA DATA, 26.885_82C
18.02.2022, ORIGEM FPM, 24.713_61C
, ORIGEM ITR, 148_28C
, ORIGEM IPM, 248_57C
, TOTAL NA DATA, 25.110_46C
22.02.2022, REF.ICMS ESTADO, 33.965_61C
, TOTAL NA DATA, 33.965_61C
25.02.2022, ORIGEM FPM, 59.407_34C
, ORIGEM ITR, 184_29C
, ORIGEM IPM, 106_18C
, TOTAL NA DATA, 59.697_81C
TOTAL POR PARCELA / NATUREZA, , 
, ORIGEM FPM, 332.643_30C
, REF.ICMS ESTADO, 86.279_13C
, ORIGEM ITR, 1.738_67C
, ORIGEM IPM, 1.181_80C
, DEBITO FUNDO, 0_00D
, CREDITO FUNDO, 421.842_90C
IPM   - IPI EXPORTACAO - COTA MUNICIPIO, , 
DATA, PARCELA, VALOR DISTRIBUIDO
10.02.2022, DEDUCAO SAUDE, 827_05D
, IPM IPI-MUNIC, 4.410_99C
, TOTAL NA DATA, 3.583_94C
18.02.2022, DEDUCAO SAUDE, 248_57D
, IPM IPI-MUNIC, 1.325_73C
, TOTAL NA DATA, 1.077_16C
25.02.2022, DEDUCAO SAUDE, 106_18D
, IPM IPI-MUNIC, 566_30C
, TOTAL NA DATA, 460_12C
TOTAL POR PARCELA / NATUREZA, , 
, DEDUCAO SAUDE, 1.181_80D
, IPM IPI-MUNIC, 6.303_02C
, DEBITO FUNDO, 1.181_80D
, CREDITO FUNDO, 6.303_02C
FEB   - FUNDEB-FNDO MANUT DES EDUC BASICA E VAL PROF, , 
DATA, PARCELA, VALOR DISTRIBUIDO
01.02.2022, ORIGEM ICMS-EST, 16.894_48C
, TOTAL NA DATA, 16.894_48C
02.02.2022, ORIGEM IPVA, 14.892_12C
, ORIGEM ITCMD, 1.356_28C
, ORIGEM ICMS EST, 35.281_14C
, TOTAL NA DATA, 51.529_54C
08.02.2022, ORIGEM ICMS-EST, 7.092_56C
, TOTAL NA DATA, 7.092_56C
09.02.2022, ORIGEM IPVA, 12.496_05C
, ORIGEM ITCMD, 1.402_90C
, ORIGEM ICMS EST, 20.158_65C
, TOTAL NA DATA, 34.057_60C
10.02.2022, ORIGEM ITR, 181_81C
, ORIGEM IPI-EXP, 3.152_33C
, ORIGEM FPE, 40.014_31C
, ORIGEM FPM, 98.130_89C
, TOTAL NA DATA, 141.479_34C
15.02.2022, ORIGEM ICMS-EST, 25.362_54C
, TOTAL NA DATA, 25.362_54C
16.02.2022, ORIGEM IPVA, 12.865_13C
, ORIGEM ITCMD, 1.813_28C
, ORIGEM ICMS EST, 118.939_72C
, TOTAL NA DATA, 133.618_13C
18.02.2022, ORIGEM ITR, 67_77C
, ORIGEM IPI-EXP, 947_44C
, ORIGEM FPE, 3.981_64C
, ORIGEM FPM, 9.758_35C
, TOTAL NA DATA, 14.755_20C
22.02.2022, ORIGEM ICMS-EST, 32.041_22C
, TOTAL NA DATA, 32.041_22C
23.02.2022, ORIGEM IPVA, 24.628_56C
, ORIGEM ITCMD, 1.768_58C
, ORIGEM ICMS EST, 67.033_98C
, TOTAL NA DATA, 93.431_12C
25.02.2022, ORIGEM ITR, 80_70C
, ORIGEM IPI-EXP, 404_71C
, ORIGEM FPE, 9.522_97C
, ORIGEM FPM, 23.457_43C
, TOTAL NA DATA, 33.465_81C
TOTAL POR PARCELA / NATUREZA, , 
, ORIGEM ITR, 330_28C
, ORIGEM IPVA, 64.881_86C
, ORIGEM ITCMD, 6.341_04C
, ORIGEM IPI-EXP, 4.504_48C
, ORIGEM ICMS EST, 241.413_49C
, ORIGEM ICMS-EST, 81.390_80C
, ORIGEM FPE, 53.518_92C
, ORIGEM FPM, 131.346_67C
, DEBITO FUNDO, 0_00D
, CREDITO FUNDO, 583.727_54C
SNA   - SIMPLES NACIONAL, , 
DATA, PARCELA, VALOR DISTRIBUIDO
03.02.2022, SIMPLES NACION., 1.213_82C
, TOTAL NA DATA, 1.213_82C
04.02.2022, SIMPLES NACION., 251_78C
, TOTAL NA DATA, 251_78C
07.02.2022, SIMPLES NACION., 24_57C
, TOTAL NA DATA, 24_57C
08.02.2022, SIMPLES NACION., 46_40C
, TOTAL NA DATA, 46_40C
09.02.2022, SIMPLES NACION., 89_96C
, TOTAL NA DATA, 89_96C
10.02.2022, SIMPLES NACION., 139_39C
, TOTAL NA DATA, 139_39C
11.02.2022, SIMPLES NACION., 298_98C
, TOTAL NA DATA, 298_98C
14.02.2022, SIMPLES NACION., 37_27C
, TOTAL NA DATA, 37_27C
15.02.2022, SIMPLES NACION., 5_00C
, TOTAL NA DATA, 5_00C
16.02.2022, SIMPLES NACION., 99_16C
, TOTAL NA DATA, 99_16C
17.02.2022, SIMPLES NACION., 4.660_18C
, TOTAL NA DATA, 4.660_18C
18.02.2022, SIMPLES NACION., 81_30C
, TOTAL NA DATA, 81_30C
21.02.2022, SIMPLES NACION., 149_91C
, TOTAL NA DATA, 149_91C
