DATA/PARCELA/VALOR DISTRIBUIDO
FPM   - FUNDO DE PARTICIPACAO DOS MUNICIPIOS, , 
DATA, PARCELA, VALOR DISTRIBUIDO
09.09.2022, PARCELA DE IPI, 95.544_41C
, PARCELA DE IR, 815.759_88C
, RETENCAO PASEP, 9.113_03D
, RFB-PREV-OB COR, 426.559_89D
, RFB-PREV-OB DEV, 63.056_61D
, DEDUCAO SAUDE, 114.753_85D
, DEDUCAO FUNDEB, 153.005_15D
, TOTAL NA DATA, 144.815_76C
20.09.2022, PARCELA DE IPI, 29.555_56C
, PARCELA DE IR, 118.420_55C
, RETENCAO PASEP, 1.479_75D
, RFB-PREV-OB DEV, 19.602_61D
, RFB-PREV-PARC60, 75.102_12D
, DEDUCAO SAUDE, 22.196_41D
, DEDUCAO FUNDEB, 29.595_22D
, TOTAL NA DATA, 0_00C
30.09.2022, PARCELA DE IPI, 27.148_39C
, PARCELA DE IR, 406.752_56C
, RETENCAO PASEP, 4.339_00D
, RFB-PREV-PARC60, 16.286_67D
, DEDUCAO SAUDE, 65.085_13D
, DEDUCAO FUNDEB, 86.780_18D
, TOTAL NA DATA, 261.409_97C
TOTAL POR PARCELA / NATUREZA, , 
, PARCELA DE IPI, 152.248_36C
, PARCELA DE IR, 1.340.932_99C
, RETENCAO PASEP, 14.931_78D
, RFB-PREV-OB COR, 426.559_89D
, RFB-PREV-OB DEV, 82.659_22D
, RFB-PREV-PARC60, 91.388_79D
, DEDUCAO SAUDE, 202.035_39D
, DEDUCAO FUNDEB, 269.380_55D
, DEBITO FUNDO, 1.086.955_62D
, CREDITO FUNDO, 1.493.181_35C
FEP   - FUNDO ESPECIAL DO PETROLEO, , 
DATA, PARCELA, VALOR DISTRIBUIDO
28.09.2022, COTA-PARTE, 31.989_28C
, RETENCAO PASEP, 319_89D
, TOTAL NA DATA, 31.669_39C
29.09.2022, COTA-PARTE, 14.005_36C
, RETENCAO PASEP, 140_05D
, TOTAL NA DATA, 13.865_31C
TOTAL POR PARCELA / NATUREZA, , 
, COTA-PARTE, 45.994_64C
, RETENCAO PASEP, 459_94D
, DEBITO FUNDO, 459_94D
, CREDITO FUNDO, 45.994_64C
ITR   - IMPOSTO TERRITORIAL RURAL, , 
DATA, PARCELA, VALOR DISTRIBUIDO
09.09.2022, RETENCAO PASEP, 18_47D
, DEDUCAO SAUDE, 346_32D
, DEDUCAO FUNDEB, 461_77D
, ITR-CONVENIO, 2.308_85C
, TOTAL NA DATA, 1.482_29C
20.09.2022, RETENCAO PASEP, 256_51D
, DEDUCAO SAUDE, 4.809_62D
, DEDUCAO FUNDEB, 6.412_83D
