DATA/PARCELA/VALOR DISTRIBUIDO
FPM   - FUNDO DE PARTICIPACAO DOS MUNICIPIOS, , 
DATA, PARCELA, VALOR DISTRIBUIDO
07.07.2022, PARCELA DE IPI, 81.705_72C
, PARCELA DE IR, 728.263_32C
, RETENCAO PASEP, 8.099_68D
, TOTAL NA DATA, 801.869_36C
08.07.2022, PARCELA DE IPI, 85.076_69C
, PARCELA DE IR, 741.388_04C
, RETENCAO PASEP, 8.264_64D
, RFB-PREV-OB COR, 404.273_15D
, RFB-PREV-OB DEV, 76.205_49D
, RFB-PREV-PARC60, 48.458_82D
, DEDUCAO SAUDE, 123.969_70D
, DEDUCAO FUNDEB, 165.292_93D
, TOTAL NA DATA, 0_00C
20.07.2022, PARCELA DE IPI, 31.393_00C
, PARCELA DE IR, 111.240_57C
, RETENCAO PASEP, 1.426_33D
, RFB-PREV-PARC60, 55.497_70D
, DEDUCAO SAUDE, 21.395_03D
, DEDUCAO FUNDEB, 28.526_71D
, TOTAL NA DATA, 35.787_80C
29.07.2022, PARCELA DE IPI, 16.961_48C
, PARCELA DE IR, 436.509_19C
, RETENCAO PASEP, 4.534_70D
, DEDUCAO SAUDE, 68.020_59D
, DEDUCAO FUNDEB, 90.694_12D
, TOTAL NA DATA, 290.221_26C
TOTAL POR PARCELA / NATUREZA, , 
, PARCELA DE IPI, 215.136_89C
, PARCELA DE IR, 2.017.401_12C
, RETENCAO PASEP, 22.325_35D
, RFB-PREV-OB COR, 404.273_15D
, RFB-PREV-OB DEV, 76.205_49D
, RFB-PREV-PARC60, 103.956_52D
, DEDUCAO SAUDE, 213.385_32D
, DEDUCAO FUNDEB, 284.513_76D
, DEBITO FUNDO, 1.104.659_59D
, CREDITO FUNDO, 2.232.538_01C
FEP   - FUNDO ESPECIAL DO PETROLEO, , 
DATA, PARCELA, VALOR DISTRIBUIDO
25.07.2022, COTA-PARTE, 29.823_18C
, RETENCAO PASEP, 298_23D
, TOTAL NA DATA, 29.524_95C
29.07.2022, COTA-PARTE, 12.989_79C
, RETENCAO PASEP, 129_89D
, TOTAL NA DATA, 12.859_90C
TOTAL POR PARCELA / NATUREZA, , 
, COTA-PARTE, 42.812_97C
, RETENCAO PASEP, 428_12D
, DEBITO FUNDO, 428_12D
, CREDITO FUNDO, 42.812_97C
ITR   - IMPOSTO TERRITORIAL RURAL, , 
DATA, PARCELA, VALOR DISTRIBUIDO
08.07.2022, RETENCAO PASEP, 6_63D
, DEDUCAO SAUDE, 124_46D
, DEDUCAO FUNDEB, 165_95D
