DATA/PARCELA/VALOR DISTRIBUIDO
FPM   - FUNDO DE PARTICIPACAO DOS MUNICIPIOS, , 
DATA, PARCELA, VALOR DISTRIBUIDO
10.08.2022, PARCELA DE IPI, 70.804_21C
, PARCELA DE IR, 995.968_73C
, RETENCAO PASEP, 10.667_72D
, RFB-PREV-OB COR, 431.766_00D
, RFB-PREV-OB DEV, 78.581_41D
, RFB-PREV-PARC60, 104.885_44D
, DEDUCAO SAUDE, 160.015_93D
, DEDUCAO FUNDEB, 213.354_58D
, TOTAL NA DATA, 67.501_86C
19.08.2022, PARCELA DE IPI, 6.280_85C
, PARCELA DE IR, 132.782_08C
, RETENCAO PASEP, 1.390_62D
, DEDUCAO SAUDE, 20.859_43D
, DEDUCAO FUNDEB, 27.812_58D
, TOTAL NA DATA, 89.000_30C
30.08.2022, PARCELA DE IPI, 29.196_83C
, PARCELA DE IR, 387.026_96C
, RETENCAO PASEP, 4.162_22D
, DEDUCAO SAUDE, 62.433_56D
, DEDUCAO FUNDEB, 83.244_75D
, TOTAL NA DATA, 266.383_26C
TOTAL POR PARCELA / NATUREZA, , 
, PARCELA DE IPI, 106.281_89C
, PARCELA DE IR, 1.515.777_77C
, RETENCAO PASEP, 16.220_56D
, RFB-PREV-OB COR, 431.766_00D
, RFB-PREV-OB DEV, 78.581_41D
, RFB-PREV-PARC60, 104.885_44D
, DEDUCAO SAUDE, 243.308_92D
, DEDUCAO FUNDEB, 324.411_91D
, DEBITO FUNDO, 1.199.174_24D
, CREDITO FUNDO, 1.622.059_66C
FEP   - FUNDO ESPECIAL DO PETROLEO, , 
DATA, PARCELA, VALOR DISTRIBUIDO
29.08.2022, COTA-PARTE, 29.994_08C
, RETENCAO PASEP, 299_94D
, TOTAL NA DATA, 29.694_14C
31.08.2022, COTA-PARTE, 13.519_37C
, RETENCAO PASEP, 135_19D
, TOTAL NA DATA, 13.384_18C
TOTAL POR PARCELA / NATUREZA, , 
, COTA-PARTE, 43.513_45C
, RETENCAO PASEP, 435_13D
, DEBITO FUNDO, 435_13D
, CREDITO FUNDO, 43.513_45C
ITR   - IMPOSTO TERRITORIAL RURAL, , 
DATA, PARCELA, VALOR DISTRIBUIDO
10.08.2022, RETENCAO PASEP, 9_67D
, DEDUCAO SAUDE, 181_31D
, DEDUCAO FUNDEB, 241_75D
, ITR-CONVENIO, 1.208_78C
, TOTAL NA DATA, 776_05C
19.08.2022, RETENCAO PASEP, 0_39D
, DEDUCAO SAUDE, 7_42D
, DEDUCAO FUNDEB, 9_90D
, ITR-CONVENIO, 49_50C
, TOTAL NA DATA, 31_79C
30.08.2022, RETENCAO PASEP, 13_54D
, DEDUCAO SAUDE, 254_01D
