DATA/PARCELA/VALOR DISTRIBUIDO
FPM   - FUNDO DE PARTICIPACAO DOS MUNICIPIOS, , 
, TOTAL NA DATA, 55.611_55C
20.04.2022, ORIGEM FPM, 23.829_61C
, ORIGEM ITR, 80_47C
, ORIGEM IPM, 238_89C
, TOTAL NA DATA, 24.148_97C
26.04.2022, REF.ICMS ESTADO, 17.670_39C
, TOTAL NA DATA, 17.670_39C
29.04.2022, ORIGEM FPM, 79.671_82C
, ORIGEM IPM, 219_71C
, TOTAL NA DATA, 79.891_53C
TOTAL POR PARCELA / NATUREZA, , 
, ORIGEM FPM, 239.040_71C
, REF.ICMS ESTADO, 92.217_79C
, ORIGEM ITR, 231_88C
, ORIGEM IPM, 1.361_66C
, DEBITO FUNDO, 0_00D
, CREDITO FUNDO, 332.852_04C
IPM   - IPI EXPORTACAO - COTA MUNICIPIO, , 
DATA, PARCELA, VALOR DISTRIBUIDO
08.04.2022, DEDUCAO SAUDE, 903_06D
, IPM IPI-MUNIC, 4.816_37C
, TOTAL NA DATA, 3.913_31C
20.04.2022, DEDUCAO SAUDE, 238_89D
, IPM IPI-MUNIC, 1.274_11C
, TOTAL NA DATA, 1.035_22C
29.04.2022, DEDUCAO SAUDE, 219_71D
, IPM IPI-MUNIC, 1.171_80C
, TOTAL NA DATA, 952_09C
TOTAL POR PARCELA / NATUREZA, , 
, DEDUCAO SAUDE, 1.361_66D
, IPM IPI-MUNIC, 7.262_28C
, DEBITO FUNDO, 1.361_66D
, CREDITO FUNDO, 7.262_28C
CID   - CIDE-CONTRIB. INTERVENCAO DOMINIO ECONOMICO, , 
DATA, PARCELA, VALOR DISTRIBUIDO
08.04.2022, PASEP MUNICIPIO, 49_70D
, COTA-MUNICIPIO, 4.970_58C
, TOTAL NA DATA, 4.920_88C
TOTAL POR PARCELA / NATUREZA, , 
, PASEP MUNICIPIO, 49_70D
, COTA-MUNICIPIO, 4.970_58C
, DEBITO FUNDO, 49_70D
, CREDITO FUNDO, 4.970_58C
RPM   - ROYALTIES PETROLEO COTA MUNICIPAL, , 
DATA, PARCELA, VALOR DISTRIBUIDO
18.04.2022, ANP LEI 7990/89, 200_30C
FEB   - FUNDEB-FNDO MANUT DES EDUC BASICA E VAL PROF, , 
DATA, PARCELA, VALOR DISTRIBUIDO
05.04.2022, ORIGEM ICMS-EST, 5.786_43C
, TOTAL NA DATA, 5.786_43C
06.04.2022, ORIGEM IPVA, 9.831_03C
, ORIGEM ITCMD, 2.309_95C
, ORIGEM ICMS EST, 18.033_04C
, TOTAL NA DATA, 30.174_02C
08.04.2022, ORIGEM ITR, 263_68C
, ORIGEM IPI-EXP, 3.442_03C
, ORIGEM FPE, 21.804_89C
, ORIGEM FPM, 53.518_69C
, TOTAL NA DATA, 79.029_29C
12.04.2022, ORIGEM ICMS-EST, 12.076_57C
, TOTAL NA DATA, 12.076_57C
13.04.2022, ORIGEM IPVA, 11.523_18C
, ORIGEM ITCMD, 1.451_08C
, ORIGEM ICMS EST, 70.616_75C
, TOTAL NA DATA, 83.591_01C
19.04.2022, ORIGEM ICMS-EST, 52.460_75C
, TOTAL NA DATA, 52.460_75C
