DATA/PARCELA/VALOR DISTRIBUIDO
FPM   - FUNDO DE PARTICIPACAO DOS MUNICIPIOS, , 
DATA, PARCELA, VALOR DISTRIBUIDO
10.06.2022, PARCELA DE IPI, 74.792_45C
, PARCELA DE IR, 688.715_07C
, RETENCAO PASEP, 7.635_07D
, RFB-PREV-OB COR, 384.128_99D
, RFB-PREV-OB DEV, 72.446_73D
, RFB-PREV-PARC60, 32.069_11D
, DEDUCAO SAUDE, 114.526_12D
, DEDUCAO FUNDEB, 152.701_50D
, TOTAL NA DATA, 0_00C
20.06.2022, PARCELA DE IPI, 36.218_69C
, PARCELA DE IR, 423.786_73C
, RETENCAO PASEP, 4.600_04D
, RFB-PREV-PARC60, 70.967_51D
, DEDUCAO SAUDE, 69.000_80D
, DEDUCAO FUNDEB, 92.001_07D
, TOTAL NA DATA, 223.436_00C
30.06.2022, PARCELA DE IPI, 18.438_56C
, PARCELA DE IR, 416.772_40C
, RETENCAO PASEP, 4.352_10D
, DEDUCAO SAUDE, 65.281_64D
, DEDUCAO FUNDEB, 87.042_19D
, TOTAL NA DATA, 278.535_03C
TOTAL POR PARCELA / NATUREZA, , 
, PARCELA DE IPI, 129.449_70C
, PARCELA DE IR, 1.529.274_20C
, RETENCAO PASEP, 16.587_21D
, RFB-PREV-OB COR, 384.128_99D
, RFB-PREV-OB DEV, 72.446_73D
, RFB-PREV-PARC60, 103.036_62D
, DEDUCAO SAUDE, 248.808_56D
, DEDUCAO FUNDEB, 331.744_76D
, DEBITO FUNDO, 1.156.752_87D
, CREDITO FUNDO, 1.658.723_90C
FEP   - FUNDO ESPECIAL DO PETROLEO, , 
DATA, PARCELA, VALOR DISTRIBUIDO
24.06.2022, COTA-PARTE, 29.669_31C
, RETENCAO PASEP, 296_69D
, TOTAL NA DATA, 29.372_62C
30.06.2022, COTA-PARTE, 8.308_51C
, RETENCAO PASEP, 83_08D
, TOTAL NA DATA, 8.225_43C
TOTAL POR PARCELA / NATUREZA, , 
, COTA-PARTE, 37.977_82C
, RETENCAO PASEP, 379_77D
, DEBITO FUNDO, 379_77D
, CREDITO FUNDO, 37.977_82C
ITR   - IMPOSTO TERRITORIAL RURAL, , 
DATA, PARCELA, VALOR DISTRIBUIDO
10.06.2022, RETENCAO PASEP, 8_27D
, DEDUCAO SAUDE, 155_09D
, DEDUCAO FUNDEB, 206_78D
, ITR-CONVENIO, 1.033_94C
, TOTAL NA DATA, 663_80C
20.06.2022, RETENCAO PASEP, 3_59D
, DEDUCAO SAUDE, 67_37D
, DEDUCAO FUNDEB, 89_82D
, ITR-CONVENIO, 449_14C
, TOTAL NA DATA, 288_36C
