DATA/PARCELA/VALOR DISTRIBUIDO
FPM   - FUNDO DE PARTICIPACAO DOS MUNICIPIOS, , 
DATA, PARCELA, VALOR DISTRIBUIDO
10.03.2022, PARCELA DE IPI, 120.655_42C
, PARCELA DE IR, 613.011_91C
, RETENCAO PASEP, 7.336_66D
, RFB-PREV-OB COR, 438.475_07D
, RFB-PREV-OB DEV, 31.072_05D
, DEDUCAO SAUDE, 110.050_09D
, DEDUCAO FUNDEB, 146.733_46D
, TOTAL NA DATA, 0_00C
18.03.2022, PARCELA DE IPI, 100.525_93C
, PARCELA DE IR, 37.621_59C
, RETENCAO PASEP, 1.381_46D
, RFB-PREV-OB COR, 46.166_31D
, RFB-PREV-OB DEV, 42.248_15D
, DEDUCAO SAUDE, 20.722_11D
, DEDUCAO FUNDEB, 27.629_49D
, TOTAL NA DATA, 0_00C
30.03.2022, PARCELA DE IPI, 11.414_14C
, PARCELA DE IR, 461.183_57C
, RETENCAO PASEP, 4.725_97D
, RFB-PREV-OB DEV, 19.876_07D
, RFB-PREV-PARC60, 100.520_45D
, DEDUCAO SAUDE, 70.889_65D
, DEDUCAO FUNDEB, 94.519_53D
, TOTAL NA DATA, 182.066_04C
TOTAL POR PARCELA / NATUREZA, , 
, PARCELA DE IPI, 232.595_49C
, PARCELA DE IR, 1.111.817_07C
, RETENCAO PASEP, 13.444_09D
, RFB-PREV-OB COR, 484.641_38D
, RFB-PREV-OB DEV, 93.196_27D
, RFB-PREV-PARC60, 100.520_45D
, DEDUCAO SAUDE, 201.661_85D
, DEDUCAO FUNDEB, 268.882_48D
, DEBITO FUNDO, 1.162.346_52D
, CREDITO FUNDO, 1.344.412_56C
FEP   - FUNDO ESPECIAL DO PETROLEO, , 
DATA, PARCELA, VALOR DISTRIBUIDO
21.03.2022, COTA-PARTE, 30.974_26C
, RETENCAO PASEP, 309_74D
, TOTAL NA DATA, 30.664_52C
28.03.2022, COTA-PARTE, 8.188_39C
, RETENCAO PASEP, 81_88D
, TOTAL NA DATA, 8.106_51C
TOTAL POR PARCELA / NATUREZA, , 
, COTA-PARTE, 39.162_65C
, RETENCAO PASEP, 391_62D
, DEBITO FUNDO, 391_62D
, CREDITO FUNDO, 39.162_65C
ITR   - IMPOSTO TERRITORIAL RURAL, , 
DATA, PARCELA, VALOR DISTRIBUIDO
10.03.2022, RETENCAO PASEP, 32_50D
, DEDUCAO SAUDE, 609_49D
, DEDUCAO FUNDEB, 812_65D
, ITR-CONVENIO, 4.063_28C
, TOTAL NA DATA, 2.608_64C
TOTAL POR PARCELA / NATUREZA, , 
, RETENCAO PASEP, 32_50D
, DEDUCAO SAUDE, 609_49D
, DEDUCAO FUNDEB, 812_65D
, ITR-CONVENIO, 4.063_28C
, DEBITO FUNDO, 1.454_64D
, CREDITO FUNDO, 4.063_28C
ICS   - ICMS ESTADUAL, , 
DATA, PARCELA, VALOR DISTRIBUIDO
03.03.2022, COTA-PARTE, 135.435_90C
, DEDUCAO SAUDE, 20.315_38D
, DEDUCAO FUNDEB, 27.087_18D
, TOTAL NA DATA, 88.033_34C
08.03.2022, COTA-PARTE, 42.239_47C
, DEDUCAO SAUDE, 6.335_92D
, DEDUCAO FUNDEB, 8.447_89D
, TOTAL NA DATA, 27.455_66C
15.03.2022, COTA-PARTE, 178.632_31C
, DEDUCAO SAUDE, 26.794_84D
, DEDUCAO FUNDEB, 35.726_46D
, TOTAL NA DATA, 116.111_01C
22.03.2022, COTA-PARTE, 254.028_60C
, DEDUCAO SAUDE, 38.104_29D
, DEDUCAO FUNDEB, 50.805_72D
, TOTAL NA DATA, 165.118_59C
29.03.2022, COTA-PARTE, 136.641_28C
, DEDUCAO SAUDE, 20.496_19D
, DEDUCAO FUNDEB, 27.328_25D
, TOTAL NA DATA, 88.816_84C
TOTAL POR PARCELA / NATUREZA, , 
, COTA-PARTE, 746.977_56C
, DEDUCAO SAUDE, 112.046_62D
, DEDUCAO FUNDEB, 149.395_50D
, DEBITO FUNDO, 261.442_12D
, CREDITO FUNDO, 746.977_56C
CFH   - COMPENSACAO FINANCEIRA RECURSOS HIDRICOS, , 
DATA, PARCELA, VALOR DISTRIBUIDO
