Folha;Data_Contabil;Data_Lancamento;Historico;Detalhe;Lote;Banco;Origem;Documento;Valor;Tipo;Saldo;Eh_Cheque;Notas
3/3;27.06.2018;;870-Transferência recebida;;99015;;;551765000014677;3.000,00;C;;Nao;
3/3;27.06.2018;;002-Cheque;;12162;;;851450;3.000,00;D;;Sim;
3/3;27.06.2018;;002-Cheque;;12162;;;851454;3.000,00;D;;Sim;
3/3;27.06.2018;;855-BB CP Administrat Supremo;;;;;070;3.000,00;C;0,00 C;Nao;
3/3;28.06.2018;;870-Transferência recebida;;99015;;;551765000003519;1.000,00;C;;Nao;
3/3;28.06.2018;;345-BB CP Administrat Supremo;;;;;070;1.000,00;D;0,00 C;Nao;
3/3;29.06.2018;;870-Transferência recebida;;99015;;;551765000014677;1.400,00;C;;Nao;
3/3;29.06.2018;;002-Cheque;;19640;;;851457;1.400,00;D;;Sim;
3/3;29.06.2018;;102-Cheque Compensado;;13079;341;1981;851452;300,00;D;;Sim;
3/3;29.06.2018;;102-Cheque Compensado;;13079;756;1981;851456;500,00;D;;Sim;
3/3;29.06.2018;;855-BB CP Administrat Supremo;;;;;070;800,00;C;0,00 C;Nao;
2/2;27.07.2018;;870-Transferência recebida;;99015;;;551765000018525;3.000,00;C;;Nao;
2/2;27.07.2018;;002-Cheque;;19640;;;851471;800,00;D;;Sim;
2/2;27.07.2018;;002-Cheque;;19640;;;851474;350,00;D;;Sim;
2/2;27.07.2018;;002-Cheque;;19222;;;851475;3.000,00;D;;Sim;
2/2;27.07.2018;;002-Cheque;;19222;;;851476;1.380,00;D;;Sim;
2/2;27.07.2018;;102-Cheque Compensado;;13079;1;1981;851470;1.400,00;D;;Sim;
2/2;27.07.2018;;102-Cheque Compensado;;13079;237;1981;851473;2.193,84;D;;Sim;
2/2;27.07.2018;;855-BB CP Administrat Supremo;;;;;070;2.223,84;C;0,00 C;Nao;
2/2;31.07.2018;;870-Transferência recebida;;99015;;;551765000003519;700,00;C;;Nao;
2/2;31.07.2018;;345-BB CP Administrat Supremo;;;;;070;700,00;D;0,00 C;Nao;
2/2;18.12.2018;;603-Cheque Devolvido sem Fundo;;14079;;;851580;1.300,00;C;;Sim;
2/2;18.12.2018;;248-Estorno Resgate Automático;;;;;070;105,44;D;0,00 C;Nao;
2/2;19.12.2018;;202-Taxa BACEN Devolução Docum;;13113;;;851580;0,35;D;;Nao;
2/2;19.12.2018;;855-BB CP Administrat Supremo;;;;;070;1,00;C;;Nao;
2/2;19.12.2018;;345-BB CP Administrat Supremo;;;;;070;0,65;D;0,00 C;Nao;
2/2;20.12.2018;;275-Tarifa Devolução de Cheque;;13113;;;813540700044228;64,00;D;;Sim;
2/2;20.12.2018;;855-BB CP Administrat Supremo;;;;;070;64,00;C;0,00 C;Nao;
2/2;21.12.2018;;870-Transferência recebida;;99015;;;551765000003519;1.500,00;C;;Nao;
