Folha;Data_Contabil;Data_Lancamento;Historico;Detalhe;Lote;Banco;Origem;Documento;Valor;Tipo;Saldo;Eh_Cheque;Notas
1/4;06.06.2022;;870-Transferência recebida;06/06 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;1.000,00;C;;Nao;
1/4;06.06.2022;;870-Transferência recebida;06/06 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;1.800,00;C;;Nao;
1/4;06.06.2022;;102-Cheque Compensado;;13079;756;1981;852124;1.800,00;D;;Sim;
1/4;06.06.2022;;102-Cheque Compensado;;13079;237;1981;852125;2.000,00;D;;Sim;
1/4;06.06.2022;;271-BB-APLIC C.PRZ-APL.AUT;;;;;1972;3.000,00;D;0,00 C;Nao;
1/4;07.06.2022;;870-Transferência recebida;07/06 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;1.710,00;C;;Nao;
1/4;07.06.2022;;870-Transferência recebida;07/06 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;1.790,00;C;;Nao;
1/4;07.06.2022;;870-Transferência recebida;07/06 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;1.500,00;C;;Nao;
1/4;07.06.2022;;002-Cheque;07/06 00:00 CENTENARIO DO SUL   PR;12162;;;852126;5.000,00;D;;Sim;
2/4;07.06.2022;;002-Cheque;07/06 00:00 CENTENARIO DO SUL   PR;12162;;;852127;500,00;D;;Sim;
2/4;07.06.2022;;848-Resgate Automático;;;;;1972;500,00;C;0,00 C;Nao;
2/4;08.06.2022;;870-Transferência recebida;08/06 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;1.850,00;C;;Nao;
2/4;08.06.2022;;870-Transferência recebida;08/06 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;1.793,22;C;;Nao;
2/4;08.06.2022;;102-Cheque Compensado;;13079;756;1981;852128;3.643,22;D;0,00 C;Sim;
2/4;10.06.2022;;870-Transferência recebida;10/06 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;1.600,00;C;;Nao;
2/4;10.06.2022;;870-Transferência recebida;10/06 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;1.500,00;C;;Nao;
2/4;10.06.2022;;870-Transferência recebida;10/06 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;1.750,00;C;;Nao;
2/4;10.06.2022;;870-Transferência recebida;10/06 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;1.750,00;C;;Nao;
2/4;10.06.2022;;870-Transferência recebida;10/06 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;1.500,00;C;;Nao;
2/4;10.06.2022;;870-Transferência recebida;10/06 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;1.500,00;C;;Nao;
2/4;10.06.2022;;976-TED-Crédito em Conta;104 1148 75845503000167 PREF MUN CENTE;14175;;;221828766;4.300,00;C;;Nao;
2/4;10.06.2022;;002-Cheque;10/06 00:00 CENTENARIO DO SUL   PR;19640;;;852129;4.300,00;D;;Sim;
2/4;10.06.2022;;002-Cheque;10/06 00:00 CENTENARIO DO SUL   PR;19640;;;852130;4.300,00;D;;Sim;
2/4;10.06.2022;;002-Cheque;10/06 00:00 CENTENARIO DO SUL   PR;19640;;;852131;3.000,00;D;;Sim;
2/4;10.06.2022;;271-BB-APLIC C.PRZ-APL.AUT;;;;;1972;3.800,00;D;0,00 C;Nao;
2/4;13.06.2022;;002-Cheque;13/06 00:00 CENTENARIO DO SUL   PR;10976;;;852132;1.834,71;D;;Sim;
2/4;13.06.2022;;848-Resgate Automático;;;;;1972;1.834,71;C;0,00 C;Nao;
2/4;14.06.2022;;870-Transferência recebida;14/06 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;1.900,00;C;;Nao;
3/4;14.06.2022;;870-Transferência recebida;14/06 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;1.700,00;C;;Nao;
3/4;14.06.2022;;870-Transferência recebida;14/06 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;1.500,00;C;;Nao;
3/4;14.06.2022;;870-Transferência recebida;14/06 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;1.800,00;C;;Nao;
3/4;14.06.2022;;870-Transferência recebida;14/06 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;1.600,00;C;;Nao;
3/4;14.06.2022;;870-Transferência recebida;14/06 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;2.000,00;C;;Nao;
3/4;14.06.2022;;870-Transferência recebida;14/06 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;1.758,97;C;;Nao;
3/4;14.06.2022;;870-Transferência recebida;14/06 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;1.000,00;C;;Nao;
3/4;14.06.2022;;870-Transferência recebida;14/06 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;1.000,00;C;;Nao;
3/4;14.06.2022;;002-Cheque;14/06 00:00 CENTENARIO DO SUL   PR;12162;;;852133;3.758,97;D;;Sim;
3/4;14.06.2022;;002-Cheque;14/06 00:00 CENTENARIO DO SUL   PR;12162;;;852134;3.900,00;D;;Sim;
3/4;14.06.2022;;271-BB-APLIC C.PRZ-APL.AUT;;;;;1972;6.600,00;D;0,00 C;Nao;
3/4;15.06.2022;;002-Cheque;15/06 00:00 CENTENARIO DO SUL   PR;12162;;;852135;1.750,00;D;;Sim;
3/4;15.06.2022;;002-Cheque;15/06 00:00 CENTENARIO DO SUL   PR;12162;;;852136;3.330,00;D;;Sim;
3/4;15.06.2022;;848-Resgate Automático;;;;;1972;5.080,00;C;0,00 C;Nao;
3/4;21.06.2022;;870-Transferência recebida;21/06 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;1.200,00;C;;Nao;
3/4;21.06.2022;;870-Transferência recebida;21/06 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;1.500,00;C;;Nao;
3/4;21.06.2022;;870-Transferência recebida;21/06 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;1.700,00;C;;Nao;
3/4;21.06.2022;;870-Transferência recebida;21/06 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;1.000,00;C;;Nao;
3/4;21.06.2022;;870-Transferência recebida;21/06 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;1.000,00;C;;Nao;
1/4;29.04.2022;;Saldo anterior;;;;;;;;0,00 C;Nao;
1/4;02.05.2022;;870-Transferência recebida;02/05 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;940,00;C;;Nao;
1/4;02.05.2022;;870-Transferência recebida;02/05 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;1.560,00;C;;Nao;
1/4;02.05.2022;;002-Cheque;02/05 00:00 CENTENARIO DO SUL   PR;12162;;;852109;3.000,00;D;;Sim;
1/4;02.05.2022;;855-BB CP Automatico S Publico;;;;;070;500,00;C;0,00 C;Nao;
1/4;03.05.2022;;870-Transferência recebida;03/05 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;4.600,00;C;;Nao;
1/4;03.05.2022;;002-Cheque;03/05 00:00 CENTENARIO DO SUL   PR;12162;;;852142;3.850,00;D;;Sim;
1/4;03.05.2022;;345-BB CP Automatico S Publico;;;;;070;750,00;D;0,00 C;Nao;
1/4;09.05.2022;;870-Transferência recebida;09/05 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;1.685,05;C;;Nao;
1/4;09.05.2022;;976-TED-Crédito em Conta;104 1148 75845503000167 PREF MUN CENTE;14175;;;215512702;1.850,00;C;;Nao;
1/4;09.05.2022;;976-TED-Crédito em Conta;104 1148 75845503000167 PREF MUN CENTE;14175;;;215513891;1.264,95;C;;Nao;
1/4;09.05.2022;;102-Cheque Compensado;;13079;756;1981;852143;4.280,76;D;;Sim;
1/4;09.05.2022;;345-BB CP Automatico S Publico;;;;;070;519,24;D;0,00 C;Nao;
1/4;10.05.2022;;870-Transferência recebida;10/05 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;1.750,00;C;;Nao;
1/4;10.05.2022;;870-Transferência recebida;10/05 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;1.430,00;C;;Nao;
1/4;10.05.2022;;870-Transferência recebida;10/05 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;1.420,00;C;;Nao;
1/4;10.05.2022;;002-Cheque;10/05 00:00 CENTENARIO DO SUL   PR;10976;;;852145;4.340,00;D;;Sim;
1/4;10.05.2022;;345-BB CP Automatico S Publico;;;;;070;260,00;D;0,00 C;Nao;
1/4;12.05.2022;;870-Transferência recebida;12/05 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;1.600,00;C;;Nao;
1/4;12.05.2022;;002-Cheque;12/05 00:00 CENTENARIO DO SUL   PR;12162;;;852144;3.985,21;D;;Sim;
2/4;12.05.2022;;855-BB CP Automatico S Publico;;;;;070;2.385,21;C;0,00 C;Nao;
2/4;16.05.2022;;976-TED-Crédito em Conta;104 1148 9333796000179 FMS CENT DO SU;14175;;;216812189;1.640,00;C;;Nao;
2/4;16.05.2022;;976-TED-Crédito em Conta;104 1148 9333796000179 FMS CENT DO SU;14175;;;216812961;1.360,00;C;;Nao;
2/4;16.05.2022;;002-Cheque;16/05 00:00 CENTENARIO DO SUL   PR;10976;;;852146;2.300,00;D;;Sim;
2/4;16.05.2022;;345-BB CP Automatico S Publico;;;;;070;700,00;D;0,00 C;Nao;
2/4;17.05.2022;;870-Transferência recebida;17/05 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;1.200,00;C;;Nao;
2/4;17.05.2022;;870-Transferência recebida;17/05 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;1.800,00;C;;Nao;
2/4;17.05.2022;;870-Transferência recebida;17/05 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;1.800,00;C;;Nao;
2/4;17.05.2022;;870-Transferência recebida;17/05 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;1.400,00;C;;Nao;
2/4;17.05.2022;;870-Transferência recebida;17/05 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;2.200,00;C;;Nao;
2/4;17.05.2022;;870-Transferência recebida;17/05 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;1.680,00;C;;Nao;
2/4;17.05.2022;;345-BB CP Automatico S Publico;;;;;070;10.080,00;D;0,00 C;Nao;
2/4;18.05.2022;;870-Transferência recebida;18/05 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;3.000,00;C;;Nao;
2/4;18.05.2022;;102-Cheque Compensado;;13079;341;1981;852147;3.048,21;D;;Sim;
2/4;18.05.2022;;855-BB CP Automatico S Publico;;;;;070;48,21;C;0,00 C;Nao;
2/4;19.05.2022;;870-Transferência recebida;19/05 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;1.750,00;C;;Nao;
2/4;19.05.2022;;870-Transferência recebida;19/05 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;1.950,00;C;;Nao;
2/4;19.05.2022;;870-Transferência recebida;19/05 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;1.250,00;C;;Nao;
2/4;19.05.2022;;870-Transferência recebida;19/05 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;1.050,00;C;;Nao;
2/4;19.05.2022;;870-Transferência recebida;19/05 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;1.000,00;C;;Nao;
3/4;19.05.2022;;002-Cheque;19/05 00:00 CENTENARIO DO SUL   PR;12162;;;852148;3.900,00;D;;Sim;
3/4;19.05.2022;;002-Cheque;19/05 00:00 CENTENARIO DO SUL   PR;12162;;;852151;3.050,00;D;;Sim;
3/4;19.05.2022;;102-Cheque Compensado;;13079;748;1981;852149;3.500,00;D;;Sim;
3/4;19.05.2022;;855-BB CP Automatico S Publico;;;;;070;3.450,00;C;0,00 C;Nao;
3/4;20.05.2022;;870-Transferência recebida;20/05 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;3.273,00;C;;Nao;
3/4;20.05.2022;;870-Transferência recebida;20/05 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;2.250,00;C;;Nao;
3/4;20.05.2022;;870-Transferência recebida;20/05 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;2.800,00;C;;Nao;
3/4;20.05.2022;;870-Transferência recebida;20/05 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;3.900,00;C;;Nao;
3/4;20.05.2022;;870-Transferência recebida;20/05 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;2.500,00;C;;Nao;
3/4;20.05.2022;;002-Cheque;20/05 00:00 CENTENARIO DO SUL   PR;12162;;;852150;3.700,00;D;;Sim;
3/4;20.05.2022;;002-Cheque;20/05 00:00 CENTENARIO DO SUL   PR;12162;;;852154;2.250,00;D;;Sim;
3/4;20.05.2022;;002-Cheque;20/05 00:00 CENTENARIO DO SUL   PR;12162;;;852155;2.800,00;D;;Sim;
3/4;20.05.2022;;102-Cheque Compensado;;13079;756;1981;852153;3.273,00;D;;Sim;
3/4;20.05.2022;;345-BB CP Automatico S Publico;;;;;070;2.700,00;D;0,00 C;Nao;
3/4;23.05.2022;;002-Cheque;23/05 00:00 CENTENARIO DO SUL   PR;12162;;;852157;2.500,00;D;;Sim;
3/4;23.05.2022;;102-Cheque Compensado;;13079;104;1981;852156;5.000,00;D;;Sim;
3/4;23.05.2022;;855-BB CP Automatico S Publico;;;;;070;7.500,00;C;0,00 C;Nao;
3/4;24.05.2022;;870-Transferência recebida;24/05 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;1.580,00;C;;Nao;
3/4;24.05.2022;;870-Transferência recebida;24/05 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;1.650,00;C;;Nao;
3/4;24.05.2022;;870-Transferência recebida;24/05 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;1.000,00;C;;Nao;
3/4;24.05.2022;;870-Transferência recebida;24/05 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;1.350,00;C;;Nao;
4/4;24.05.2022;;870-Transferência recebida;24/05 1765 12988-7 FLAVIA V MONTE;99020;;;601765000012988;810,00;C;;Nao;
4/4;24.05.2022;;002-Cheque;24/05 00:00 CENTENARIO DO SUL   PR;12162;;;852158;2.550,00;D;;Sim;
4/4;24.05.2022;;102-Cheque Compensado;;13079;84;1981;852152;4.150,00;D;;Sim;
4/4;24.05.2022;;855-BB CP Automatico S Publico;;;;;070;310,00;C;0,00 C;Nao;
4/4;26.05.2022;;870-Transferência recebida;26/05 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;1.200,00;C;;Nao;
4/4;26.05.2022;;870-Transferência recebida;26/05 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;1.800,00;C;;Nao;
4/4;26.05.2022;;271-BB-APLIC C.PRZ-APL.AUT;;;;;1972;3.000,00;D;0,00 C;Nao;
4/4;27.05.2022;;870-Transferência recebida;27/05 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;1.500,00;C;;Nao;
4/4;27.05.2022;;870-Transferência recebida;27/05 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;1.800,00;C;;Nao;
4/4;27.05.2022;;002-Cheque;27/05 00:00 CENTENARIO DO SUL   PR;12162;;;852159;1.800,00;D;;Sim;
4/4;27.05.2022;;002-Cheque;27/05 00:00 CENTENARIO DO SUL   PR;12162;;;852160;4.250,00;D;;Sim;
4/4;27.05.2022;;855-BB CP Automatico S Publico;;;;;070;2.369,70;C;;Nao;
4/4;27.05.2022;;848-Resgate Automático;;;;;1972;380,30;C;0,00 C;Nao;
4/4;31.05.2022;;870-Transferência recebida;31/05 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;1.200,00;C;;Nao;
4/4;31.05.2022;;870-Transferência recebida;31/05 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;1.600,00;C;;Nao;
4/4;31.05.2022;;002-Cheque;31/05 00:00 CENTENARIO DO SUL   PR;12162;;;852121;2.180,00;D;;Sim;
4/4;31.05.2022;;271-BB-APLIC C.PRZ-APL.AUT;;;;;1972;620,00;D;0,00 C;Nao;
1/5;31.03.2022;;Saldo anterior;;;;;;;;0,00 C;Nao;
1/5;01.04.2022;;870-Transferência recebida;01/04 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;2.800,00;C;;Nao;
1/5;01.04.2022;;870-Transferência recebida;01/04 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;1.500,00;C;;Nao;
1/5;01.04.2022;;870-Transferência recebida;01/04 1765 8004-7 PREF MUN DESE;99015;;;551765000008004;2.500,00;C;;Nao;
1/5;01.04.2022;;002-Cheque;01/04 00:00 CENTENARIO DO SUL   PR;12162;;;852091;4.300,00;D;;Sim;
1/5;01.04.2022;;002-Cheque;01/04 00:00 CENTENARIO DO SUL   PR;12162;;;852095;4.055,22;D;;Sim;
1/5;01.04.2022;;102-Cheque Compensado;;13079;341;1981;852093;3.940,51;D;;Sim;
1/5;01.04.2022;;855-BB CP Automatico S Publico;;;;;070;5.495,73;C;0,00 C;Nao;
1/5;04.04.2022;;002-Cheque;04/04 00:00 CENTENARIO DO SUL   PR;19640;;;852096;2.155,22;D;;Sim;
1/5;04.04.2022;;855-BB CP Automatico S Publico;;;;;070;2.155,22;C;0,00 C;Nao;
1/5;05.04.2022;;002-Cheque;05/04 00:00 CENTENARIO DO SUL   PR;10976;;;852097;1.000,00;D;;Sim;
1/5;05.04.2022;;855-BB CP Automatico S Publico;;;;;070;1.000,00;C;0,00 C;Nao;
1/5;06.04.2022;;870-Transferência recebida;06/04 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;1.500,00;C;;Nao;
1/5;06.04.2022;;870-Transferência recebida;06/04 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;1.850,00;C;;Nao;
1/5;06.04.2022;;870-Transferência recebida;06/04 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;1.900,00;C;;Nao;
1/5;06.04.2022;;102-Cheque Compensado;;13079;1;1981;852098;4.055,00;D;;Sim;
1/5;06.04.2022;;345-BB CP Automatico S Publico;;;;;070;1.195,00;D;0,00 C;Nao;
1/5;08.04.2022;;870-Transferência recebida;08/04 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;2.100,00;C;;Nao;
1/5;08.04.2022;;870-Transferência recebida;08/04 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;2.050,00;C;;Nao;
1/5;08.04.2022;;870-Transferência recebida;08/04 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;1.950,00;C;;Nao;
2/5;08.04.2022;;870-Transferência recebida;08/04 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;2.000,00;C;;Nao;
2/5;08.04.2022;;002-Cheque;08/04 00:00 CENTENARIO DO SUL   PR;12162;;;852099;4.600,00;D;;Sim;
2/5;08.04.2022;;345-BB CP Automatico S Publico;;;;;070;3.500,00;D;0,00 C;Nao;
2/5;11.04.2022;;870-Transferência recebida;11/04 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;950,00;C;;Nao;
2/5;11.04.2022;;870-Transferência recebida;11/04 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;850,00;C;;Nao;
2/5;11.04.2022;;870-Transferência recebida;11/04 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;2.615,00;C;;Nao;
2/5;11.04.2022;;870-Transferência recebida;11/04 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;2.700,00;C;;Nao;
2/5;11.04.2022;;976-TED-Crédito em Conta;104 1148 75845503000167 PREF MUN CENTE;14175;;;209985131;1.000,00;C;;Nao;
2/5;11.04.2022;;002-Cheque;11/04 00:00 CENTENARIO DO SUL   PR;12162;;;852101;2.800,00;D;;Sim;
2/5;11.04.2022;;102-Cheque Compensado;;13079;104;1981;852100;3.500,00;D;;Sim;
2/5;11.04.2022;;102-Cheque Compensado;;13079;756;1981;852102;4.715,00;D;;Sim;
2/5;11.04.2022;;855-BB CP Automatico S Publico;;;;;070;2.900,00;C;0,00 C;Nao;
2/5;13.04.2022;;870-Transferência recebida;13/04 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;2.400,00;C;;Nao;
2/5;13.04.2022;;870-Transferência recebida;13/04 1765 8004-7 PREF MUN DESE;99015;;;551765000008004;3.200,00;C;;Nao;
2/5;13.04.2022;;002-Cheque;13/04 00:00 CENTENARIO DO SUL   PR;12162;;;852104;5.000,00;D;;Sim;
2/5;13.04.2022;;002-Cheque;13/04 00:00 CENTENARIO DO SUL   PR;12162;;;852105;2.400,00;D;;Sim;
2/5;13.04.2022;;102-Cheque Compensado;;13079;1;1981;852106;3.200,00;D;;Sim;
2/5;13.04.2022;;855-BB CP Automatico S Publico;;;;;070;2.881,80;C;;Nao;
2/5;13.04.2022;;603-Cheque Devolvido sem Fundo;Cheque sem fundos - 1a apresentação;14079;;;852106;3.200,00;C;;Sim;
2/5;13.04.2022;;248-Estorno Resgate Automático;;;;;070;2.881,80;D;;Nao;
2/5;13.04.2022;;855-BB CP Automatico S Publico;;;;;070;1.800,00;C;0,00 C;Nao;
2/5;14.04.2022;;870-Transferência recebida;14/04 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;2.500,00;C;;Nao;Linha repetida integralmente no topo da pagina 10 (mesma data/lote/documento/valor) - contabilizada uma unica vez aqui
3/5;14.04.2022;;202-Taxa BACEN Devolução Docum;Cobrança referente 14/04/2022;13113;;;852106;0,35;D;;Nao;
3/5;14.04.2022;;345-BB CP Automatico S Publico;;;;;070;4.999,65;D;0,00 C;Nao;
3/5;18.04.2022;;870-Transferência recebida;18/04 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;2.000,00;C;;Nao;
3/5;18.04.2022;;870-Transferência recebida;18/04 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;1.800,00;C;;Nao;
3/5;18.04.2022;;870-Transferência recebida;18/04 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;1.700,00;C;;Nao;
3/5;18.04.2022;;870-Transferência recebida;18/04 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;1.500,00;C;;Nao;
3/5;18.04.2022;;002-Cheque;18/04 00:00 CENTENARIO DO SUL   PR;12162;;;852103;5.000,00;D;;Sim;
3/5;18.04.2022;;002-Cheque;18/04 00:00 CENTENARIO DO SUL   PR;12162;;;852107;3.200,00;D;;Sim;
3/5;18.04.2022;;002-Cheque;18/04 00:00 CENTENARIO DO SUL   PR;12162;;;852108;3.800,00;D;;Sim;
3/5;18.04.2022;;275-Tarifa Devolução de Cheque;Cobrança referente 14/04/2022;13113;;;811080700032401;77,95;D;;Sim;
3/5;18.04.2022;;102-Cheque Compensado;;13079;1;1981;852089;450,00;D;;Sim;
3/5;18.04.2022;;855-BB CP Automatico S Publico;;;;;070;5.527,95;C;0,00 C;Nao;
3/5;20.04.2022;;870-Transferência recebida;20/04 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;1.900,00;C;;Nao;
3/5;20.04.2022;;870-Transferência recebida;20/04 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;1.800,00;C;;Nao;
3/5;20.04.2022;;870-Transferência recebida;20/04 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;2.300,00;C;;Nao;
3/5;20.04.2022;;870-Transferência recebida;20/04 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;2.500,00;C;;Nao;
3/5;20.04.2022;;002-Cheque;20/04 00:00 CENTENARIO DO SUL   PR;12162;;;852110;4.500,00;D;;Sim;
3/5;20.04.2022;;002-Cheque;20/04 00:00 CENTENARIO DO SUL   PR;12162;;;852112;1.800,00;D;;Sim;
3/5;20.04.2022;;002-Cheque;;12162;;;852113;2.050,00;D;;Sim;"REVISAR - linha no rodape da pagina 10; detalhe (data/local da compensacao) nao esta visivel dentro da pagina fornecida"
4/5;20.04.2022;;345-BB CP Automatico S Publico;;;;;070;150,00;D;0,00 C;Nao;
4/5;22.04.2022;;870-Transferência recebida;22/04 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;1.750,00;C;;Nao;
4/5;22.04.2022;;870-Transferência recebida;22/04 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;1.800,00;C;;Nao;
4/5;22.04.2022;;870-Transferência recebida;22/04 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;2.000,00;C;;Nao;
4/5;22.04.2022;;870-Transferência recebida;22/04 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;2.000,00;C;;Nao;
4/5;22.04.2022;;002-Cheque;22/04 00:00 CENTENARIO DO SUL PR;12162;;;852114;2.000,00;D;;Sim;
4/5;22.04.2022;;002-Cheque;22/04 00:00 CENTENARIO DO SUL PR;12162;;;852115;1.800,00;D;;Sim;
4/5;22.04.2022;;002-Cheque;22/04 00:00 CENTENARIO DO SUL PR;12162;;;852116;3.750,00;D;0,00 C;Sim;
4/5;25.04.2022;;870-Transferência recebida;25/04 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;1.800,00;C;;Nao;
4/5;25.04.2022;;870-Transferência recebida;25/04 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;2.050,00;C;;Nao;
4/5;25.04.2022;;345-BB CP Automatico S Publico;;;;;070;3.850,00;D;0,00 C;Nao;
4/5;26.04.2022;;870-Transferência recebida;26/04 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;3.000,00;C;;Nao;
4/5;26.04.2022;;102-Cheque Compensado;;13079;104;1981;852111;2.000,00;D;;Sim;
4/5;26.04.2022;;102-Cheque Compensado;;13079;1;1981;852117;3.555,00;D;;Sim;
4/5;26.04.2022;;855-BB CP Automatico S Publico;;;;;070;2.555,00;C;0,00 C;Nao;
4/5;28.04.2022;;870-Transferência recebida;28/04 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;1.500,00;C;;Nao;
4/5;28.04.2022;;870-Transferência recebida;28/04 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;1.200,00;C;;Nao;
4/5;28.04.2022;;870-Transferência recebida;28/04 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;1.080,00;C;;Nao;
4/5;28.04.2022;;976-TED-Crédito em Conta;104 1148 75845503000167 PREF MUN CENTE;14175;;;212851633;1.420,00;C;;Nao;
4/5;28.04.2022;;345-BB CP Automatico S Publico;;;;;070;5.200,00;D;0,00 C;Nao;
4/5;29.04.2022;;870-Transferência recebida;;99015;;;551765000003519;1.650,00;C;;Nao;"Detalhe cortado no fim da folha 4/5; continuação estaria na folha 5/5 (não incluída no lote de imagens fornecido)"
1/5;25.02.2022;;Saldo anterior;;;;;;;;0,00 C;Nao;
1/5;02.03.2022;;870-Transferência recebida;02/03 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;3.500,00;C;;Nao;
1/5;02.03.2022;;002-Cheque;02/03 00:00 CENTENARIO DO SUL PR;12162;;;852075;3.115,00;D;;Sim;
1/5;02.03.2022;;345-BB CP Automatico S Publico;;;;;070;385,00;D;0,00 C;Nao;
1/5;03.03.2022;;870-Transferência recebida;03/03 1765 3519-X PREF MUNIC CEN;99015;;;551765000003519;3.800,00;C;;Nao;
1/5;03.03.2022;;102-Cheque Compensado;;13079;756;1981;852076;3.540,00;D;;Sim;
1/5;03.03.2022;;345-BB CP Automatico S Publico;;;;;070;260,00;D;0,00 C;Nao;
1/5;04.03.2022;;002-Cheque;04/03 00:00 CENTENARIO DO SUL PR;12162;;;852079;1.750,00;D;;Sim;
1/5;04.03.2022;;002-Cheque;04/03 00:00 CENTENARIO DO SUL PR;12162;;;852080;1.800,00;D;;Sim;
1/5;04.03.2022;;855-BB CP Automatico S Publico;;;;;070;3.550,00;C;0,00 C;Nao;
1/5;07.03.2022;;580-Estorno Autenticação Pagam;;12162;;;852070;3.500,00;C;;Nao;
